# Experiment Log (20260112-203118)
# Experiment Configuration:
#    logging_enabled: True
#    spectrum_enabled: True
#    pressure_enabled: True
#    visualization_enabled: True
# Serial Configuration:
#    Port: COM3
#    Baudrate: 9600
#    Bytesize: 8
#    Parity: N
#    Stopbits: 1
#    Timeout: 3
# Data Columns:
#    Timestamp: Time of the log entry in ISO 8601 format (measured at start of logging cycle)
#    Elapsed Time (s): Time since the start of logging in seconds (measured at start of logging cycle)
#    Pressure Sensor Readings (if enabled):
#       Pressure: Pressure reading from the sensor in specified units
#       Pressure_Unit: Unit of the pressure reading
#       Pressure_Read_Time_Delta (ms): Delta between program read command and pressure sensor response time in miliseconds
#    Spectrum Analyzer Readings (if enabled):
Timestamp,Elapsed Time (s),Pressure_Read_Time_Delta (ms),Pressure,Pressure_Unit
2026-01-12T20:31:18,0.00020766258239746094,265.697717666626,1000.0,mbar
2026-01-12T20:31:19,0.7685577869415283,269.9408531188965,1000.0,mbar
2026-01-12T20:31:19,1.5392091274261475,272.44114875793457,1000.0,mbar
2026-01-12T20:31:20,2.3126866817474365,272.84955978393555,1000.0,mbar
2026-01-12T20:31:21,3.0866477489471436,279.9563407897949,1000.0,mbar
2026-01-12T20:31:22,3.8678641319274902,287.8267765045166,1000.0,mbar
2026-01-12T20:31:23,4.657227277755737,279.95800971984863,1000.0,mbar
2026-01-12T20:31:23,5.439151287078857,263.5998725891113,1000.0,mbar
2026-01-12T20:31:24,6.204781770706177,263.29493522644043,1000.0,mbar
2026-01-12T20:31:25,6.969436168670654,279.9816131591797,1000.0,mbar
2026-01-12T20:31:26,7.751497983932495,279.1602611541748,1000.0,mbar
2026-01-12T20:31:26,8.531635046005249,264.65415954589844,1000.0,mbar
2026-01-12T20:31:27,9.29838252067566,271.16870880126953,1000.0,mbar
2026-01-12T20:31:28,10.070355892181396,280.4577350616455,1000.0,mbar
2026-01-12T20:31:29,10.852100610733032,280.0900936126709,1000.0,mbar
2026-01-12T20:31:30,11.6345796585083,262.50648498535156,1000.0,mbar
2026-01-12T20:31:30,12.398022413253784,265.423059463501,1000.0,mbar
2026-01-12T20:31:31,13.165649890899658,270.3428268432617,1000.0,mbar
2026-01-12T20:31:32,13.93700885772705,241.70470237731934,1000.0,mbar
2026-01-12T20:31:33,14.679524898529053,272.37629890441895,1000.0,mbar
2026-01-12T20:31:33,15.452483177185059,288.9077663421631,1000.0,mbar
2026-01-12T20:31:34,16.242446184158325,271.6965675354004,1000.0,mbar
2026-01-12T20:31:35,17.015089750289917,265.46740531921387,1000.0,mbar
2026-01-12T20:31:36,17.78257441520691,271.2252140045166,1000.0,mbar
2026-01-12T20:31:36,18.555806398391724,279.27279472351074,1000.0,mbar
2026-01-12T20:31:37,19.33705186843872,271.4498043060303,1000.0,mbar
2026-01-12T20:31:38,20.110741138458252,278.83148193359375,1000.0,mbar
2026-01-12T20:31:39,20.892082452774048,271.0423469543457,1000.0,mbar
2026-01-12T20:31:40,21.6650493144989,287.10222244262695,1000.0,mbar
2026-01-12T20:31:40,22.454512357711792,278.89561653137207,1000.0,mbar
2026-01-12T20:31:41,23.235883712768555,270.3118324279785,1000.0,mbar
2026-01-12T20:31:42,24.006991863250732,288.73467445373535,1000.0,mbar
2026-01-12T20:31:43,24.79802632331848,278.94091606140137,1000.0,mbar
2026-01-12T20:31:44,25.579163074493408,263.5161876678467,1000.0,mbar
2026-01-12T20:31:44,26.344951629638672,270.3127861022949,1000.0,mbar
2026-01-12T20:31:45,27.11610460281372,265.06686210632324,1000.0,mbar
2026-01-12T20:31:46,27.881922960281372,272.39155769348145,1000.0,mbar
2026-01-12T20:31:47,28.655200242996216,280.96604347229004,1000.0,mbar
2026-01-12T20:31:47,29.436853647232056,272.6097106933594,1000.0,mbar
2026-01-12T20:31:48,30.2106192111969,256.63065910339355,1000.0,mbar
2026-01-12T20:31:49,30.96794366836548,280.3614139556885,1000.0,mbar
