timestamp,pressure,unit
2025-12-19 21:13:59,1.0,mbar
2025-12-19 21:14:06,1.0,mbar
2025-12-19 21:14:13,1.0,mbar
2025-12-19 21:14:20,1.1,mbar
2025-12-19 21:14:27,1.1,mbar
2025-12-19 21:14:34,1.1,mbar
2025-12-19 21:14:41,1.1,mbar
2025-12-19 21:14:48,1.1,mbar
2025-12-19 21:14:55,1.1,mbar
2025-12-19 21:15:02,1.1,mbar
2025-12-19 21:15:09,1.2,mbar
2025-12-19 21:15:16,1.2,mbar
2025-12-19 21:15:23,1.2,mbar
2025-12-19 21:15:30,1.2,mbar
2025-12-19 21:15:37,1.2,mbar
2025-12-19 21:15:44,1.2,mbar
2025-12-19 21:15:51,1.3,mbar
2025-12-19 21:15:58,1.3,mbar
2025-12-19 21:16:05,1.3,mbar
2025-12-19 21:16:12,1.3,mbar
2025-12-19 21:16:19,1.3,mbar
2025-12-19 21:16:26,1.3,mbar
2025-12-19 21:16:33,1.3,mbar
2025-12-19 21:16:40,1.3,mbar
2025-12-19 21:16:47,1.4,mbar
2025-12-19 21:16:54,1.4,mbar
2025-12-19 21:17:01,1.4,mbar
2025-12-19 21:17:08,1.4,mbar
2025-12-19 21:17:15,1.4,mbar
2025-12-19 21:17:22,1.4,mbar
2025-12-19 21:17:29,1.4,mbar
2025-12-19 21:17:36,1.4,mbar
2025-12-19 21:17:43,1.4,mbar
2025-12-19 21:17:50,1.5,mbar
2025-12-19 21:17:57,1.5,mbar
2025-12-19 21:18:04,1.5,mbar
2025-12-19 21:18:11,1.5,mbar
2025-12-19 21:18:18,1.5,mbar
2025-12-19 21:18:25,1.5,mbar
2025-12-19 21:18:32,1.5,mbar
2025-12-19 21:18:39,1.5,mbar
2025-12-19 21:18:46,1.5,mbar
2025-12-19 21:18:53,1.5,mbar
2025-12-19 21:19:00,1.5,mbar
2025-12-19 21:19:07,1.5,mbar
2025-12-19 21:19:14,1.6,mbar
2025-12-19 21:19:21,1.6,mbar
2025-12-19 21:19:28,1.6,mbar
2025-12-19 21:19:35,1.6,mbar
2025-12-19 21:19:42,1.6,mbar
2025-12-19 21:19:49,1.6,mbar
2025-12-19 21:19:56,1.6,mbar
2025-12-19 21:20:03,1.6,mbar
2025-12-19 21:20:10,1.6,mbar
2025-12-19 21:20:17,1.6,mbar
2025-12-19 21:20:24,1.6,mbar
2025-12-19 21:20:31,1.6,mbar
2025-12-19 21:20:38,1.6,mbar
2025-12-19 21:20:45,1.6,mbar
2025-12-19 21:20:52,1.6,mbar
2025-12-19 21:20:59,1.7,mbar
2025-12-19 21:21:06,1.7,mbar
2025-12-19 21:21:13,1.7,mbar
2025-12-19 21:21:20,1.7,mbar
2025-12-19 21:21:27,1.7,mbar
2025-12-19 21:21:34,1.7,mbar
2025-12-19 21:21:41,1.7,mbar
2025-12-19 21:21:48,1.7,mbar
2025-12-19 21:21:55,1.7,mbar
2025-12-19 21:22:02,1.7,mbar
2025-12-19 21:22:09,1.7,mbar
2025-12-19 21:22:16,1.7,mbar
2025-12-19 21:22:23,1.7,mbar
2025-12-19 21:22:30,1.7,mbar
2025-12-19 21:22:37,1.7,mbar
2025-12-19 21:22:44,1.7,mbar
2025-12-19 21:22:51,1.7,mbar
2025-12-19 21:22:58,1.7,mbar
2025-12-19 21:23:05,1.7,mbar
2025-12-19 21:23:12,1.7,mbar
2025-12-19 21:23:19,1.8,mbar
2025-12-19 21:23:26,1.8,mbar
2025-12-19 21:23:33,1.8,mbar
2025-12-19 21:23:40,1.8,mbar
2025-12-19 21:23:47,1.8,mbar
2025-12-19 21:23:54,1.8,mbar
2025-12-19 21:24:01,1.8,mbar
2025-12-19 21:24:08,1.8,mbar
2025-12-19 21:24:15,1.8,mbar
2025-12-19 21:24:22,1.8,mbar
2025-12-19 21:24:29,1.8,mbar
2025-12-19 21:24:36,1.8,mbar
2025-12-19 21:24:43,1.8,mbar
2025-12-19 21:24:50,1.8,mbar
